id_product,name_of_product,price,id_category,quantity_at_storage
1,Холодильник Samsung RB33,35000.0,1,5
2,Микроволновая печь LG MS2043,6500.0,1,10
3,Электрочайник Tefal KI,3200.0,1,20
4,Утюг Philips GC,4500.0,1,8
5,Пылесос Bosch BGS,15000.0,1,6
6,Ноутбук Lenovo IdeaPad 3,54000.0,3,5
7,Ноутбук ASUS TUF Gaming,87000.0,3,4
8,Планшет Samsung Tab A8,19000.0,3,6
9,Монитор Dell 24 U2422H,18000.0,5,6
10,Монитор AOC 27 144Hz,22000.0,5,5
11,Принтер HP LaserJet,19500.0,5,3
12,Клавиатура Logitech K380,4200.0,4,15
13,Мышь Razer DeathAdder,4900.0,4,12
14,Наушники HyperX Cloud,7900.0,4,8
15,Коврик для мыши Razer Goliathus,1800.0,4,15
16,Веб-камера Logitech C270,4900.0,4,10
17,Процессор Intel Core i3-12100,10500.0,2,20
18,Процессор Intel Core i5-12400,18900.0,2,15
19,Процессор Intel Core i7-12700,28900.0,2,8
20,Процессор AMD Ryzen 5 5600X,16500.0,2,12
21,Процессор AMD Ryzen 7 5800X,26900.0,2,7
22,Материнская плата ASUS B660,12500.0,2,12
23,Материнская плата MSI B550,13900.0,2,10
24,Материнская плата Gigabyte Z790,21900.0,2,6
25,Оперативная память Kingston 8GB DDR4,2900.0,2,30
26,Оперативная память Kingston 16GB DDR4,5200.0,2,25
27,Оперативная память Corsair 32GB DDR5,12400.0,2,10
28,SSD накопитель Samsung 500GB,6500.0,2,25
29,SSD накопитель Samsung 1TB,10200.0,2,20
30,HDD Seagate 2TB,5900.0,2,15
31,Видеокарта NVIDIA RTX 3060,42000.0,2,8
32,Видеокарта NVIDIA RTX 4060,55000.0,2,6
33,Видеокарта AMD Radeon RX 6700 XT,49000.0,2,5
34,Блок питания Corsair 600W,5500.0,2,18
35,Блок питания Corsair 750W,9800.0,2,15
36,Блок питания Be Quiet 1000W,15600.0,2,7
37,Кулер для CPU Deepcool GAMMAXX 400,1900.0,2,20
38,Кулер для CPU Noctua NH-D15,8400.0,2,10
39,Корпус для ПК Corsair 4000D,7900.0,2,10
40,Корпус для ПК Fractal Design Meshify,8900.0,2,8
